"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar al portal de Orange HRM","Ingresar al portal con un usuario valido","SUCCESS","2023-03-11T22:29:47.3195471-05:00[America/Bogota]","0.0","28.45"
"Ingresar al portal de Orange HRM 2","Ingresar al portal con un usuario valido","SUCCESS","2023-03-11T22:30:15.9418059-05:00[America/Bogota]","0.0","10.96"
"Ingresar al portal de Orange HRM 2","Ingresar al portal con un usuario valido2","SUCCESS","2023-03-11T22:30:27.0818389-05:00[America/Bogota]","0.0","9.88"
"Cargar archivos","Cargar archivos","ERROR","2023-03-11T22:35:23.0764233-05:00[America/Bogota]","0.0","9.88"
